week_day,date,temp_low1,time1,temp_high1,temp_low2,time2,temp_high2,temp_low3,time3,temp_high3,temp_low4,time4,temp_high4
Sat, Jun 22,77,12am,81,79,6am,88,70,12pm,91,72,6pm,75
Sun, Jun 23,72,12am,73,73,6am,84,86,12pm,90,82,6pm,88
Mon, Jun 24,79,12am,81,79,6am,84,86,12pm,88,75,6pm,84
Tue, Jun 25,70,12am,75,73,6am,84,86,12pm,88,77,6pm,86
Wed, Jun 26,75,12am,77,75,6am,86,75,12pm,90,73,6pm,75
Thu, Jun 27,70,12am,73,72,6am,88,73,12pm,90,72,6pm,75
Fri, Jun 28,66,12am,72,73,6am,88,75,12pm,90,72,6pm,75
Sat, Jun 29,73,12am,75,75,6am,86,79,12pm,88,75,6pm,81
Sun, Jun 30,73,12am,75,73,6am,84,86,12pm,90,77,6pm,86
Mon, Jul 1,73,12am,75,77,6am,90,91,12pm,93,81,6pm,91
Tue, Jul 2,75,12am,82,79,6am,90,91,12pm,93,81,6pm,91
Wed, Jul 3,75,12am,79,77,6am,90,84,12pm,90,75,6pm,82
Thu, Jul 4,72,12am,75,73,6am,90,90,12pm,91,81,6pm,88
Fri, Jul 5,75,12am,81,75,6am,91,91,12pm,93,81,6pm,91
Sat, Jul 6,75,12am,79,77,6am,91,93,12pm,97,81,6pm,91
Sun, Jul 7,75,12am,81,79,6am,88,72,12pm,88,73,6pm,84
Mon, Jul 8,73,12am,73,73,6am,88,88,12pm,93,81,6pm,88
Tue, Jul 9,75,12am,81,79,6am,91,93,12pm,97,82,6pm,93
Wed, Jul 10,79,12am,82,79,6am,90,91,12pm,93,81,6pm,90
Thu, Jul 11,79,12am,79,79,6am,90,84,12pm,93,79,6pm,82
Fri, Jul 12,77,12am,81,79,6am,88,90,12pm,93,81,6pm,90
Sat, Jul 13,75,12am,79,75,6am,86,77,12pm,81,77,6pm,81
Sun, Jul 14,75,12am,75,75,6am,88,79,12pm,90,73,6pm,79
Mon, Jul 15,73,12am,75,75,6am,84,82,12pm,88,79,6pm,81
Tue, Jul 16,75,12am,79,77,6am,88,90,12pm,91,73,6pm,90
Wed, Jul 17,75,12am,79,79,6am,88,88,12pm,91,79,6pm,90
Thu, Jul 18,75,12am,79,79,6am,88,79,12pm,91,81,6pm,90
Fri, Jul 19,79,12am,81,81,6am,86,82,12pm,88,77,6pm,84
Sat, Jul 20,73,12am,75,75,6am,88,75,12pm,91,73,6pm,79
Sun, Jul 21,73,12am,75,75,6am,86,84,12pm,88,79,6pm,84
Mon, Jul 22,75,12am,79,75,6am,88,84,12pm,90,79,6pm,88
Tue, Jul 23,73,12am,77,73,6am,77,75,12pm,82,70,6pm,81
Wed, Jul 24,63,12am,70,64,6am,82,82,12pm,86,70,6pm,81
Thu, Jul 25,63,12am,68,64,6am,84,84,12pm,88,72,6pm,84
